Source,Target,Type,Weight
AumaWl0TNBo,nRJuIrO9GaU,Undirected,1
AumaWl0TNBo,0RxhuBwCwMs,Undirected,1
AumaWl0TNBo,tXoJTxPLrKM,Undirected,24
AumaWl0TNBo,uthHP6FoBmk,Undirected,1
AumaWl0TNBo,d6awT91VKUw,Undirected,1
AumaWl0TNBo,Pl9oc13p534,Undirected,2
AumaWl0TNBo,X3o3Vol7a1o,Undirected,1
AumaWl0TNBo,-3VBPAZPTQI,Undirected,1
AumaWl0TNBo,rMFxV-l3qG0,Undirected,1
AumaWl0TNBo,GpEuHHMy-Z8,Undirected,1
AumaWl0TNBo,oj8JK6c5x3M,Undirected,1
AumaWl0TNBo,6F5x2ArbQKU,Undirected,1
AumaWl0TNBo,86atbRCxDgw,Undirected,1
AumaWl0TNBo,6781x0TTSks,Undirected,1
AumaWl0TNBo,qkBXzkD6tis,Undirected,1
AumaWl0TNBo,rYzLh2QuraQ,Undirected,1
AumaWl0TNBo,S10azlzvS_8,Undirected,1
AumaWl0TNBo,YfWSMMPnTiI,Undirected,1
AumaWl0TNBo,WipbEpll-rQ,Undirected,1
AumaWl0TNBo,Y_1CaQl0FJs,Undirected,1
AumaWl0TNBo,L6vhib5e4so,Undirected,2
AumaWl0TNBo,PC1iHFQ0zEk,Undirected,3
AumaWl0TNBo,QwZT7T-TXT0,Undirected,2
AumaWl0TNBo,VGPKryH8D2o,Undirected,1
AumaWl0TNBo,iB_XgqdeU1o,Undirected,1
AumaWl0TNBo,5O4h2x9NuTk,Undirected,1
AumaWl0TNBo,5pJLKoB_yCs,Undirected,1
AumaWl0TNBo,AiyZ92_JZxA,Undirected,1
AumaWl0TNBo,4FBqT80fVKY,Undirected,1
AumaWl0TNBo,UmHVoBKLw68,Undirected,1
AumaWl0TNBo,3rVFuscWyC8,Undirected,3
AumaWl0TNBo,xvaCIbcM2-I,Undirected,2
AumaWl0TNBo,2pJlpCfueV0,Undirected,1
AumaWl0TNBo,HaI5lLd3RvE,Undirected,1
AumaWl0TNBo,BPyNxoVJsr4,Undirected,1
AumaWl0TNBo,He-HBXbHT_U,Undirected,1
AumaWl0TNBo,ys2x8oOK7wE,Undirected,2
AumaWl0TNBo,qIXvh9rXWJs,Undirected,1
AumaWl0TNBo,o8lSb-UOA3M,Undirected,2
AumaWl0TNBo,r_MU7WAR_6I,Undirected,4
AumaWl0TNBo,tOr88uFiOjQ,Undirected,1
AumaWl0TNBo,NuhhbcLyWWo,Undirected,1
AumaWl0TNBo,c47kn_Y4y8A,Undirected,1
AumaWl0TNBo,JIr6Bv_JTSw,Undirected,1
AumaWl0TNBo,vVoxIgwdppE,Undirected,22
AumaWl0TNBo,QVoleJYgdM8,Undirected,1
AumaWl0TNBo,FDTKws5WxKw,Undirected,2
AumaWl0TNBo,ZJkc_C5-Cd8,Undirected,1
AumaWl0TNBo,O1RNq6rMbds,Undirected,1
AumaWl0TNBo,EofDwwembIw,Undirected,1
AumaWl0TNBo,fRQfrB6klX0,Undirected,4
AumaWl0TNBo,1hX1KSKqVmo,Undirected,1
AumaWl0TNBo,wQZ95eZQtBE,Undirected,1
AumaWl0TNBo,yLdav-8af6g,Undirected,1
AumaWl0TNBo,zw6hMTAtdwg,Undirected,1
AumaWl0TNBo,kDVMAIGZvvw,Undirected,1
AumaWl0TNBo,Y0MjGxKe888,Undirected,1
AumaWl0TNBo,T_AyI8I4O3U,Undirected,1
AumaWl0TNBo,cWy8jWXhdnA,Undirected,1
AumaWl0TNBo,_f_LqAXzol0,Undirected,1
AumaWl0TNBo,saZizkBOOJI,Undirected,1
AumaWl0TNBo,Kpxn9nl02qg,Undirected,1
AumaWl0TNBo,D3V0aw-ljEg,Undirected,1
AumaWl0TNBo,3QohbrF0GIg,Undirected,1
AumaWl0TNBo,Lj6Y6JCu-l4,Undirected,1
AumaWl0TNBo,FvBcYkY7ZGo,Undirected,1
AumaWl0TNBo,lpkRFHSpvGI,Undirected,1
AumaWl0TNBo,j6Z573n6-xU,Undirected,1
AumaWl0TNBo,jxFwvwYPPcs,Undirected,2
AumaWl0TNBo,1m7WNpBbjKM,Undirected,1
AumaWl0TNBo,8b6IQQMRYCA,Undirected,1
AumaWl0TNBo,FIFLT8iTyJk,Undirected,1
AumaWl0TNBo,IJuZSD8GGZo,Undirected,1
AumaWl0TNBo,gImQUUb8cU4,Undirected,5
AumaWl0TNBo,rR-wWKCe92o,Undirected,1
AumaWl0TNBo,PUqi2P0ry6Y,Undirected,1
AumaWl0TNBo,xPsEiZAOb_I,Undirected,2
AumaWl0TNBo,q57eQqq9-IA,Undirected,1
AumaWl0TNBo,XY8QQmFswmA,Undirected,2
AumaWl0TNBo,9StYOIBLanM,Undirected,1
AumaWl0TNBo,nIPt7dJrSXw,Undirected,4
AumaWl0TNBo,kKk6vEqFFOA,Undirected,1
AumaWl0TNBo,kb1qAO9KB3k,Undirected,1
AumaWl0TNBo,Zy6nbhUW_5E,Undirected,4
AumaWl0TNBo,PpElRBQ-yGc,Undirected,2
AumaWl0TNBo,YWVylysTNIA,Undirected,1
AumaWl0TNBo,6ZwXRnueOMg,Undirected,2
AumaWl0TNBo,d3h_uD-5d7A,Undirected,5
AumaWl0TNBo,yHHnywiSwIE,Undirected,4
AumaWl0TNBo,v0TiqC_C8wI,Undirected,1
AumaWl0TNBo,uexk7jWXYmU,Undirected,1
AumaWl0TNBo,_5d-sQ7Fh5M,Undirected,2
AumaWl0TNBo,_Oht6ZNXx7I,Undirected,1
AumaWl0TNBo,OtL1fEEtLaA,Undirected,1
AumaWl0TNBo,v0RrsWK4GlY,Undirected,2
AumaWl0TNBo,VXvu5rtJNd4,Undirected,1
AumaWl0TNBo,FTldNZ7V8ls,Undirected,1
AumaWl0TNBo,EZOZ-XD5wmg,Undirected,1
AumaWl0TNBo,KzNK1-mH2Xw,Undirected,2
AumaWl0TNBo,HuJkBDBloa0,Undirected,1
AumaWl0TNBo,EVNYfoFcrZY,Undirected,1
AumaWl0TNBo,ceyU5UBumLU,Undirected,4
AumaWl0TNBo,x8DegXNFOns,Undirected,2
AumaWl0TNBo,AtCLwYFRp4o,Undirected,1
AumaWl0TNBo,S3VZxB_iNoA,Undirected,1
AumaWl0TNBo,WAwRrtH-4Lg,Undirected,1
AumaWl0TNBo,w9JQf4Lw46g,Undirected,1
AumaWl0TNBo,FJ_TFXjr__4,Undirected,1
AumaWl0TNBo,XIZmIl9SsXk,Undirected,1
AumaWl0TNBo,BVRvrvCQdmg,Undirected,1
AumaWl0TNBo,akNs04ef_Co,Undirected,3
AumaWl0TNBo,bNF9VJgfPS4,Undirected,1
AumaWl0TNBo,hTFdtso911s,Undirected,1
AumaWl0TNBo,Lok2EvthO-U,Undirected,1
AumaWl0TNBo,WTyNJOXycQk,Undirected,1
AumaWl0TNBo,Z0vLiQLpsc8,Undirected,1
AumaWl0TNBo,colIbxVLUrA,Undirected,1
AumaWl0TNBo,bkI4AZn_saY,Undirected,1
AumaWl0TNBo,xe6o4ex7-YA,Undirected,1
AumaWl0TNBo,AVoe5SH_K8k,Undirected,1
AumaWl0TNBo,aydY1eiGjgs,Undirected,2
AumaWl0TNBo,XZ-IYxacK3I,Undirected,1
AumaWl0TNBo,EcFJbKJxjDA,Undirected,2
AumaWl0TNBo,qT6KNyLEV24,Undirected,1
AumaWl0TNBo,yabSoxBzo4A,Undirected,4
AumaWl0TNBo,9lH5NgUnPUs,Undirected,3
AumaWl0TNBo,7-T08gSQmxk,Undirected,5
AumaWl0TNBo,9S1Gc1nSXd4,Undirected,1
AumaWl0TNBo,_DiGQRaaHvg,Undirected,1
AumaWl0TNBo,Mjl4OReUX-c,Undirected,1
AumaWl0TNBo,1R0Xgq1bxZI,Undirected,1
AumaWl0TNBo,QLUXGKtRaEs,Undirected,22
AumaWl0TNBo,7FM_MfpYOLU,Undirected,1
AumaWl0TNBo,TX0UsGn0GPc,Undirected,1
AumaWl0TNBo,hFFn8K2O4po,Undirected,1
AumaWl0TNBo,mcsTWPSMDtg,Undirected,1
AumaWl0TNBo,rplCCSqWXIY,Undirected,1
AumaWl0TNBo,o4fHlldbRHo,Undirected,1
AumaWl0TNBo,zMV51hydg8E,Undirected,1
AumaWl0TNBo,tJFk9dPdxO0,Undirected,2
AumaWl0TNBo,QS8bma7LRX4,Undirected,1
AumaWl0TNBo,ev2RHDUkE4M,Undirected,1
AumaWl0TNBo,xIZPbhq37WQ,Undirected,3
AumaWl0TNBo,oaU82_uGTQg,Undirected,1
AumaWl0TNBo,p5N6tFob_Rw,Undirected,2
AumaWl0TNBo,CWAX-tiepMo,Undirected,1
AumaWl0TNBo,GWMKelv5Bmw,Undirected,2
-N5eucPMTTc,sLJdBmAeB_U,Undirected,2
-N5eucPMTTc,FmYMq9EHhdE,Undirected,1
-N5eucPMTTc,tSjvx_c4meE,Undirected,3
-N5eucPMTTc,IVRVXYCrr14,Undirected,4
-N5eucPMTTc,uT3wso5Zp7k,Undirected,3
-N5eucPMTTc,7DLKv39MLbg,Undirected,3
-N5eucPMTTc,tpyQLIpv4Yk,Undirected,2
-N5eucPMTTc,twjTkBN3Q9A,Undirected,1
-N5eucPMTTc,ZDMgHk2DjoQ,Undirected,1
-N5eucPMTTc,XymR5UCxSfA,Undirected,9
-N5eucPMTTc,acIRvVxB4go,Undirected,1
-N5eucPMTTc,hX643KbiI4s,Undirected,2
-N5eucPMTTc,kROW5iooUKE,Undirected,1
-N5eucPMTTc,xxWXD073Ql0,Undirected,2
-N5eucPMTTc,MjdpR-TY6QU,Undirected,1
-N5eucPMTTc,kRDb2X3gFmo,Undirected,1
-N5eucPMTTc,ROzC9ZySGos,Undirected,1
-N5eucPMTTc,28_tNFnMrTk,Undirected,2
-N5eucPMTTc,n1rblnOWhmM,Undirected,1
-N5eucPMTTc,3iXwXYflCSI,Undirected,2
-N5eucPMTTc,6epjkX1sr2M,Undirected,3
-N5eucPMTTc,ph2RlcltYdM,Undirected,2
-N5eucPMTTc,510KQ_LXGww,Undirected,9
-N5eucPMTTc,mwpHSMv1pI4,Undirected,1
-N5eucPMTTc,d8RW-WSpAhQ,Undirected,1
-N5eucPMTTc,0oXu0XfXYYE,Undirected,8
-N5eucPMTTc,FVwR2zK_Ahs,Undirected,2
-N5eucPMTTc,gSW2l1z1lKw,Undirected,1
-N5eucPMTTc,CR9zYgr84QY,Undirected,3
-N5eucPMTTc,949vJMp0v40,Undirected,1
-N5eucPMTTc,F62QpaPWXDI,Undirected,2
-N5eucPMTTc,ONQ-fAp5X64,Undirected,2
-N5eucPMTTc,hbmdI8A7SSo,Undirected,3
